"","provider","product","price","share","quantity","asc","product_provider","post_provider","effect","post_price","p_effect"
"1","A","100 Mbit/s",40,0.26,2340000,0,"A 100 Mbit/s","AB",1.79061131209668,41.7906113120967,0.0447652828024168
"2","A","400 Mbit/s",65,0.2,1800000,2.23763573553251,"A 400 Mbit/s","AB",1.60049179139922,66.6004917913992,0.0246229506369111
"3","A","1000 Mbit/s",95,0.05,450000,3.85134137441262,"A 1000 Mbit/s","AB",1.53543560970253,96.5354356097025,0.0161624801021319
"4","B","400 Mbit/s",50,0.1,9e+05,0.0444885549725638,"B 400 Mbit/s","AB",2.14710849071692,52.1471084907169,0.0429421698143383
"5","B","1000 Mbit/s",70,0.09,810000,1.93912803931474,"B 1000 Mbit/s","AB",1.98756133942397,71.987561339424,0.0283937334203425
"6","C","400 Mbit/s",70,0.08,720000,1.82134500365835,"C 400 Mbit/s","C",1,71,0.0142857142857143
"7","C","1000 Mbit/s",98,0.03,270000,3.64051575064663,"C 1000 Mbit/s","C",1,99,0.0102040816326531
"8","D","200 Mbit/s",40,0.03,270000,-2.15948424935337,"D 200 Mbit/s","D",0.999999999999995,41,0.0249999999999998
"9","D","400 Mbit/s",50,0.05,450000,-0.648658625587382,"D 400 Mbit/s","D",1,51,0.02
"10","E","200 Mbit/s",35,0.06,540000,-1.96633706879343,"E 200 Mbit/s","E",1,36,0.0285714285714286
"11","E","400 Mbit/s",45,0.05,450000,-1.14865862558738,"E 400 Mbit/s","E",0.999999999999999,46,0.0222222222222222
